acc_id,fallecidos_lesionados,fall_les,g_edad,sexo_vic
2013|643,Lesionado,,30-34,
2013|644,Lesionado,,40-44,
2013|645,Lesionado,,40-44,
2013|646,Lesionado,,20-24,
2013|647,Lesionado,,Menor de 15,
2013|648,Lesionado,,20-24,
2013|649,Lesionado,,30-34,
2013|650,Fallecido,,20-24,
2013|651,Lesionado,,35-39,
2013|652,Lesionado,,15-19,
2013|653,Fallecido,,25-29,
2013|654,Lesionado,,35-39,
2013|655,Lesionado,,20-24,
2013|656,Lesionado,,20-24,
2013|657,Lesionado,,15-19,
2013|658,Lesionado,,20-24,
2013|659,Lesionado,,15-19,
2013|660,Lesionado,,20-24,
2013|661,Lesionado,,45-49,
2013|662,Lesionado,,50-54,
2013|663,Lesionado,,20-24,
2013|664,Lesionado,,15-19,
2013|665,Lesionado,,15-19,
2013|666,Lesionado,,25-29,
2013|667,Lesionado,,15-19,
2013|668,Lesionado,,15-19,
2013|669,Lesionado,,35-39,
2013|670,Lesionado,,35-39,
2013|671,Fallecido,,20-24,
2013|672,Fallecido,,25-29,
2013|673,Lesionado,,15-19,
2013|674,Lesionado,,50-54,
2013|675,Fallecido,,20-24,
2013|676,Fallecido,,35-39,
2013|677,Fallecido,,35-39,
2013|678,Lesionado,,30-34,
2013|679,Lesionado,,Menor de 15,
2013|680,Lesionado,,25-29,
2013|681,Lesionado,,25-29,
2013|682,Lesionado,,25-29,
2013|683,Fallecido,,15-19,
2013|684,Lesionado,,20-24,
2013|685,Lesionado,,25-29,
2013|686,Lesionado,,55 y más,
2013|687,Lesionado,,55 y más,
2013|688,Lesionado,,40-44,
2013|689,Lesionado,,30-34,
2013|690,Lesionado,,45-49,
2013|691,Lesionado,,55 y más,
2013|692,Lesionado,,45-49,
2013|693,Lesionado,,40-44,
2013|694,Lesionado,,15-19,
2013|695,Fallecido,,50-54,
2013|696,Fallecido,,15-19,
2013|697,Fallecido,,20-24,
2013|698,Fallecido,,35-39,
2013|699,Fallecido,,55 y más,
2013|700,Fallecido,,55 y más,
2013|701,Fallecido,,25-29,
2013|702,Fallecido,,45-49,
2013|703,Fallecido,,Menor de 15,
2013|704,Fallecido,,30-34,
2013|705,Fallecido,,50-54,
2013|706,Fallecido,,35-39,
2013|707,Fallecido,,15-19,
2013|708,Lesionado,,30-34,
2013|709,Lesionado,,25-29,
2013|710,Lesionado,,45-49,
2013|711,Lesionado,,20-24,
2013|712,Lesionado,,25-29,
2013|713,Fallecido,,15-19,
2013|714,Lesionado,,15-19,
2013|715,Lesionado,,15-19,
2013|716,Lesionado,,Menor de 15,
2013|717,Lesionado,,30-34,
2013|718,Lesionado,,25-29,
2013|719,Fallecido,,35-39,
2013|720,Lesionado,,15-19,
2013|721,Fallecido,,35-39,
2013|722,Fallecido,,40-44,
2013|723,Lesionado,,40-44,
2013|724,Lesionado,,25-29,
2013|725,Lesionado,,35-39,
2013|726,Lesionado,,45-49,
2013|727,Lesionado,,20-24,
2013|728,Lesionado,,Menor de 15,
2013|729,Lesionado,,15-19,
2013|730,Lesionado,,15-19,
2013|731,Lesionado,,20-24,
2013|732,Fallecido,,20-24,
2013|733,Fallecido,,Menor de 15,
2013|734,Lesionado,,50-54,
2013|735,Lesionado,,15-19,
2013|736,Lesionado,,55 y más,
2013|737,Lesionado,,35-39,
2013|738,Lesionado,,25-29,
2013|739,Fallecido,,20-24,
2013|740,Fallecido,,20-24,
2013|741,Lesionado,,50-54,
2013|742,Lesionado,,25-29,
2013|743,Fallecido,,50-54,
2013|744,Lesionado,,30-34,
2013|745,Lesionado,,20-24,
2013|746,Lesionado,,35-39,
2013|747,Lesionado,,20-24,
2013|748,Lesionado,,55 y más,
2013|749,Lesionado,,30-34,
2013|750,Lesionado,,45-49,
2013|751,Lesionado,,25-29,
2013|752,Fallecido,,30-34,
2013|753,Lesionado,,30-34,
2013|754,Lesionado,,35-39,
2013|755,Lesionado,,15-19,
2013|756,Fallecido,,40-44,
2013|757,Lesionado,,45-49,
2013|758,Lesionado,,15-19,
2013|759,Lesionado,,15-19,
2013|760,Lesionado,,50-54,
2013|761,Lesionado,,15-19,
2013|762,Lesionado,,35-39,
2013|763,Lesionado,,20-24,
2013|764,Lesionado,,55 y más,
2013|765,Lesionado,,Menor de 15,
2013|766,Lesionado,,Menor de 15,
2013|767,Fallecido,,30-34,
2013|768,Lesionado,,55 y más,
2013|769,Lesionado,,30-34,
2013|770,Lesionado,,30-34,
2013|771,Lesionado,,30-34,
2013|772,Lesionado,,Menor de 15,
2013|773,Lesionado,,Menor de 15,
2013|774,Fallecido,,55 y más,
2013|775,Lesionado,,25-29,
2013|776,Lesionado,,30-34,
2013|777,Lesionado,,25-29,
2013|778,Lesionado,,15-19,
2013|779,Lesionado,,25-29,
2013|780,Lesionado,,30-34,
2013|781,Lesionado,,25-29,
2013|782,Lesionado,,Menor de 15,
2013|783,Lesionado,,15-19,
2013|784,Lesionado,,20-24,
2013|785,Lesionado,,Ignorado,
2013|786,Lesionado,,Ignorado,
2013|787,Lesionado,,25-29,
2013|788,Fallecido,,30-34,
2013|789,Fallecido,,40-44,
